,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
101,BBC,Tue Jul 03 21:01:39 +0000 2018,"RT @BBCMOTD: #ENG have won a #WorldCup penalty shootout for the first time in the nation's history.

We repeat: England have won a #WorldCu…",0.6597,0.252,0.646,0.102,102
102,BBC,Tue Jul 03 20:55:51 +0000 2018,"RT @BBCMOTD: argentIna knocked ouT
Spain lost to the hosts
france COnceded three 
gerMany have been elimINated
portuGal on tHe plane back t…",-0.3182,0.0,0.905,0.095,103
103,BBC,Tue Jul 03 19:32:04 +0000 2018,"Tonight, Joe Swift and @jowhiley take a look at what's in store at the RHS Hampton Court Palace Flower Show. 🌸💐🌷🏰… https://t.co/zaFy1lN26l",0.2023,0.083,0.917,0.0,104
104,BBC,Tue Jul 03 18:00:25 +0000 2018,"Don't let anyone tell you your pain is normal. 
#Endometriosis https://t.co/Iq5UWFYcto",-0.5106,0.0,0.752,0.248,105
105,BBC,Tue Jul 03 17:01:03 +0000 2018,"'Turning 30 is like playing musical chairs. The music stops, and everyone just marries whoever they happen to be si… https://t.co/fsuTCD3AS6",0.4019,0.18,0.753,0.067,106
106,BBC,Tue Jul 03 16:00:18 +0000 2018,"🗣⚽️ Why is football so full of cliches? 
#WorldCup https://t.co/mMe3p1ibrB",0.0,0.0,1.0,0.0,107
107,BBC,Tue Jul 03 15:21:59 +0000 2018,"🍓🎾 A young David Attenborough discusses the beginning of regular colour TV in Britain, launched at #Wimbledon in 19… https://t.co/wUeuqWXGVT",0.128,0.077,0.923,0.0,108
108,BBC,Tue Jul 03 15:07:30 +0000 2018,"RT @BBCWorld: ""Today is the best day""

Families celebrate as rescuers reach boys trapped in Thailand cave https://t.co/61s78f6ZXk https://t…",0.6808,0.328,0.547,0.124,109
109,BBC,Tue Jul 03 14:23:58 +0000 2018,"RT @BBCWales: The story of Aneurin Bevan in 70 seconds. 
#NHS70 https://t.co/TKtkWEjohJ",0.0,0.0,1.0,0.0,110
110,BBC,Tue Jul 03 14:03:05 +0000 2018,"😨🐙🔮 A 'psychic' octopus, who correctly predicted all of Japan's World Cup results, has been killed and turned into… https://t.co/zeebvUYUfl",-0.6705,0.0,0.8,0.2,111
111,BBC,Tue Jul 03 12:19:44 +0000 2018,RT @BBCTwo: Look at these INCREDIBLE desserts inspired by #Wimbledon! 😋 🎾 #GreatBritishMenu https://t.co/8rPzAAnSgT,0.5411,0.189,0.811,0.0,112
112,BBC,Tue Jul 03 12:00:20 +0000 2018,"😍🦔 Meet Arbuckle... he's adorable, but he could be the world's fattest hedgehog. https://t.co/Svgc7oLBcx",0.2732,0.139,0.861,0.0,113
113,BBC,Tue Jul 03 11:31:42 +0000 2018,We're using around 9 billion fewer plastic bags now they cost 5p each... but there's still more to be done.… https://t.co/dYXaZ2YFI8,0.0,0.0,1.0,0.0,114
114,BBC,Tue Jul 03 11:02:04 +0000 2018,"👔 A Japanese company has launched a line of business suits specifically for blue-collar workers.
👉… https://t.co/mKOTswtAi1",0.128,0.097,0.903,0.0,115
115,BBC,Tue Jul 03 09:37:17 +0000 2018,"RT @1Xtra: What's worse; scoring an own goal or having a DEAD trim?

@NickBrightDJ @CheekySport &amp; @MrBigzOfficial weren't happy with Sergio…",-0.9028,0.0,0.604,0.396,116
116,BBC,Tue Jul 03 08:00:15 +0000 2018,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,0.0,0.0,1.0,0.0,117
117,BBC,Tue Jul 03 07:26:06 +0000 2018,"🎨🐠 Are we really the only creatures on Earth capable of delighting in beauty? Or can animals be artists too?
👉… https://t.co/9tZ0X8jyqb",0.8541,0.33,0.67,0.0,118
118,BBC,Tue Jul 03 07:01:02 +0000 2018,Why scientists are counting seal pups in the Thames Estuary. https://t.co/GfMjrwpzPH,0.0,0.0,1.0,0.0,119
119,BBC,Mon Jul 02 19:01:05 +0000 2018,A golden retriever named Todd has been labelled a 'hero' after he was bitten by rattlesnake while protecting his ow… https://t.co/jwSa2knHKj,0.0,0.0,1.0,0.0,120
120,BBC,Mon Jul 02 18:01:05 +0000 2018,"This woman is cutting out the middle man and working directly with Indian farmers.

(via @BBCThree) https://t.co/faRaW27jTp",-0.128,0.0,0.914,0.086,121
121,BBC,Mon Jul 02 16:13:24 +0000 2018,"12 boys and their football coach have been found alive after nine days missing in caves in Thailand, the regional g… https://t.co/435VAvqUN9",0.1027,0.105,0.806,0.089,122
122,BBC,Mon Jul 02 16:04:06 +0000 2018,😂✋ This game of tag started five years ago - and it's fair to say it's got a bit out of hand. https://t.co/ytG4D9pWXi,0.6705,0.224,0.776,0.0,123
123,BBC,Mon Jul 02 16:01:04 +0000 2018,"RT @BBCTwo: In the strange, brooding landscape of the Australian bush, something unthinkable is about to happen… #PicnicAtHangingRock https…",-0.1779,0.055,0.854,0.09,124
